SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ADANIGREEN","1,550.70","1,558.00","1,507.30","1,543.70","1,515.00","-","-28.7","-1.86","4912240","753.34","1,631.50","765.00","3.36","44.27"
"LT","3,788.90","3,828.90","3,767.70","3,775.60","3,817.90","-","42.3","1.12","1942610","738.07","4,440.00","3,288.10","-9.26","9.9"
"KOTAKBANK","377.50","391.80","375.70","377.15","390.70","-","14.2","3.77","17847316","688.46","453.20","345.50","-3.41","-10.01"
"TORNTPHARM","4,915.40","4,932.90","4,695.10","4,987.60","4,747.00","-","-240.6","-4.82","1396928","668.15","5,085.80","3,421.30","6.85","35.45"
"POLYCAB","9,169.50","9,170.00","8,826.00","9,215.00","8,847.00","-","-368","-3.99","727314","648.31","10,126.00","6,620.00","-10.87","28.48"
"ICICIGI","1,616.90","1,616.90","1,571.80","1,623.80","1,610.00","-","-13.8","-0.85","4018447","643.60","2,064.90","1,544.60","-10.08","-17.39"
"DLF","649.00","677.00","647.10","648.10","667.00","-","18.9","2.92","9526166","636.85","856.45","489.40","6.97","-21.26"
"VEDL","258.00","258.40","249.70","257.90","252.50","-","-5.4","-2.09","24108053","610.66","795.00","249.70","-17.62","-43.18"
"HCLTECH","1,197.80","1,223.50","1,195.80","1,187.40","1,203.00","-","27.6","2.35","5037972","608.28","1,780.10","1,030.00","3.1","-22.08"
"360ONE","1,108.30","1,127.80","1,085.70","1,081.30","1,111.90","-","30.6","2.83","5362295","594.22","1,236.20","906.05","-2.2","-7.77"
"SUZLON","51.96","52.29","51.27","51.97","52.07","-","0.1","0.19","111362634","577.19","68.30","38.19","-12.15","-21.42"
"ADANIPOWER","217.00","217.00","213.22","216.57","214.37","-","-2.2","-1.02","26561459","570.46","254.20","110.45","-2.74","79.04"
"MCX","2,810.00","2,819.00","2,729.00","2,815.50","2,749.00","-","-66.5","-2.36","2000089","551.97","3,480.00","1,460.80","-3.79","66.41"
"EXIDEIND","421.00","436.55","418.55","421.30","435.00","-","13.7","3.25","12389278","535.68","436.55","287.00","12","13.41"
"M&M","3,119.00","3,183.20","3,119.00","3,117.80","3,178.90","-","61.1","1.96","1627877","515.37","3,839.90","2,896.00","1.47","-0.5"
"PFC","402.00","407.55","399.75","401.35","404.65","-","3.3","0.82","12783074","514.16","486.50","329.90","-6.28","-4.59"
"ADANIENSOL","1,700.00","1,757.70","1,690.50","1,689.50","1,721.60","-","32.1","1.9","2898703","502.90","1,757.70","744.90","15.47","97.13"
"SWIGGY","273.89","281.00","267.20","272.96","275.99","-","3.03","1.11","18196699","502.28","474.00","235.75","6.38","-28.44"
"ETERNAL","287.00","287.85","283.05","286.45","286.75","-","0.3","0.1","17477557","499.56","368.45","212.60","10.97","10.44"
"HAVELLS","1,173.00","1,194.10","1,141.20","1,170.60","1,190.80","-","20.2","1.73","4169240","489.28","1,621.10","1,123.60","-0.5","-22.3"
"SUNPHARMA","1,948.70","1,952.60","1,922.50","1,950.10","1,934.00","-","-16.1","-0.83","2475664","479.57","1,962.70","1,548.00","6.24","13.54"
